offer_id,name,brand,oem,qty,qty_unit,price,stock
MV1028F,Колодки тормозные передние Mavico MV1028F Lada Vesta комплект 4 шт,Mavico,,4,комплект,1500.0,37
MV1029F,"Колодки тормозные передние MAVICO MV1029F Lada Vesta NG / Iskra, 4шт",Mavico,,4,шт,1500.0,12
DBA42312,Диск тормозной передний DBA 42312 Toyota Land Cruiser 2 шт,DBA,,2,шт,8990.0,4
MF1041,Фильтр масляный Mavico MF-1041 Hyundai Solaris,Mavico,,1,шт,250.0,
AF2205,"Фильтр воздушный MAVICO AF2205 Lada Largus, 1 шт",Mavico,,1,шт,390.5,58
BD5510,Диск тормозной задний Mavico BD5510 Renault Logan OEM 8200123456 к-т 2шт,Mavico,8200123456,2,комплект,3200.0,9
CF3300,Фильтр салонный Mavico CF-3300 угольный VW Polo,Mavico,,1,шт,450.0,21
WB01,Щетки стеклоочистителя Деталиус 600мм/400мм комплект,Деталиус,,1,комплект,990.0,0
MV3011R,Колодки тормозные задние Mavico Granta барабанные OEM 2101-3502090,Mavico,2101-3502090,1,шт,890.0,15
,"Диск тормозной передний Mavico Solaris (без цены, уточнить)",Mavico,,1,шт,,6
TP7788,Автополотенце из микрофибры Mavico 40х40 набор 3 шт,Mavico,,3,комплект,350.0,240
DBA4000,Диск тормозной DBA 4000 series Nissan Patrol пара,DBA,,2,шт,12500.0,2
